Query,C++ Mean,C++ Std,Java Mean,Java Std,Thrift Mean,Thrift Std
q11,2101.052,720.0025033990513,1846.173,678.8423823326376,254.879,64.46954848361885
q12,2115.636,672.2152578280686,1862.901,624.4072722515655,252.735,96.04935321621512
q13,2233.594,800.9638882710719,1960.497,752.7692551788646,273.097,95.66858454617727
q21,5287.021,1998.7426274159586,5006.399,1939.4348969528517,280.622,189.32243422294172
q22,5315.271,1433.8784470658452,5025.829,1398.426273996167,289.442,72.0814287342334
q23,5607.152,1622.748179647893,5327.474,1581.5223223780877,279.678,70.01124116804307
q31,5339.138,1368.887144716821,5053.367,1334.0580891761408,285.771,70.37645490080048
q32,5222.803,1507.4472459726046,4931.399,1473.4931998516345,291.404,68.01353265802788
q33,5364.705,1343.9072671571196,5066.465,1310.9947123886163,298.24,68.94713995596994
q34,5496.377,1700.0041178985043,5195.445,1659.5124780005842,300.932,79.15279237361459
q41,6395.667,1625.7354790859918,6077.869,1592.0371780254427,317.798,76.33325593712064
q42,6338.084,1468.3072516095292,6025.914,1434.1412949419796,312.17,70.27645323918873
q43,6252.41,1414.6406979173914,5941.215,1386.7758680057434,311.195,74.30165348571128
